id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16838402,Cosy one room apartment at Frederiksberg,112086476,Gry,,Frederiksberg,55.68586644178765,12.535182258707428,Entire home/apt,388,2,18,2018-09-17,0.87,1,84
16840989,"Cozy apartment on Vesterbro, Copenhagen",112115143,Camilla,,Vesterbro-Kongens Enghave,55.67060268299745,12.541201864179307,Entire home/apt,593,2,3,2017-06-26,0.15,1,0
16842304,Lovely penthouse appartment in lovely Copenhagen,66691752,Kasper,,Amager Vest,55.64927436793395,12.612905413795117,Entire home/apt,947,5,0,,,1,0
16843217,Nice little apartment in Christianshavn,85286356,Helena,,Indre By,55.67160885442414,12.596166465825789,Entire home/apt,593,1,0,,,1,0
16843266,Cozy spacial apartment in the heart of Copenhagen,47117192,Marie,,Indre By,55.67898499998041,12.56775851781247,Entire home/apt,786,1,4,2017-03-23,0.20,1,0
16853527,"Bright, quiet and cosy 2 rooms apartment",9956593,(Email hidden by Airbnb),,Valby,55.663433248116235,12.51083775627803,Entire home/apt,425,3,12,2018-06-25,0.57,1,0
16854957,Private room with seaview near center of CPH,47758925,Sixten,,Amager st,55.65760249953772,12.633638987031961,Private room,200,25,0,,,1,0
16856010,"Cosy apartment, Nørrebro",4617558,Mona,,Nrrebro,55.6879389473972,12.55483454594775,Entire home/apt,599,6,14,2018-07-23,0.69,1,0
16856621,Cosy apartment with a view,108786034,Ida,,Amager st,55.651520937255825,12.614389502263672,Entire home/apt,498,30,4,2017-12-31,0.21,1,106
16863486,Charming flat in the heart of the city,21196871,Davide,,Vesterbro-Kongens Enghave,55.669159784537726,12.55533635465308,Entire home/apt,827,3,72,2018-10-14,3.58,1,8
16863608,Penthouse designer apt. w/rooftop terrace,4876957,Sofia,,Vesterbro-Kongens Enghave,55.646321056804126,12.549918155694144,Entire home/apt,1299,2,22,2018-10-04,1.17,1,30
16863669,"Spacious, modern flat in friendly neighbourhood.",34752250,Karin,,Valby,55.65631574113615,12.513838192918094,Entire home/apt,503,1,26,2018-10-06,1.37,1,0
16863836,Cozy apartment at Nørrebro,52308276,Nicolai,,Nrrebro,55.70208582083473,12.549625806604956,Entire home/apt,472,2,15,2018-10-07,0.72,1,6
16865338,Bright 2 room apartment,13374387,Tine,,Vanlse,55.696015481495266,12.510760299337898,Entire home/apt,651,1,0,,,1,0
16865698,"Exclusive 140 m2, 3 bedroom apartment by the water",8424183,Steve,,Vesterbro-Kongens Enghave,55.65873026149184,12.560439411794144,Entire home/apt,1500,1,72,2018-10-01,3.61,1,157
16865770,"Hyggeligt hus, stilhed og tæt på centrum",112383665,Peter,,Vesterbro-Kongens Enghave,55.647875528308184,12.523100222918744,Entire home/apt,1250,10,0,,,1,0
16867178,Cosy apartment in Frederiksberg,31004553,Sandra,,Frederiksberg,55.67320632290342,12.537621487727417,Entire home/apt,432,4,12,2018-08-04,0.60,1,2
16870100,Charming penthouse with roof top and good location,7529291,Mikala,,Frederiksberg,55.681522367633605,12.534561319735937,Entire home/apt,1202,3,0,,,1,358
16871868,Cozy apartment in the heart of hip copenhagen,38275573,Niels,,Nrrebro,55.69566565010374,12.540358775802249,Entire home/apt,599,1,0,,,1,0
16874928,Andreas Bjørns Gade - Best Stay Copenhagen,2702857,Byron,,Indre By,55.6754634370236,12.598772753421674,Entire home/apt,750,2,7,2018-08-28,1.04,14,46
16875549,Charming 3 bedroom apartment in Copenhagen Harbor,2376515,Sanna,,Vesterbro-Kongens Enghave,55.645591821332836,12.552305266830798,Entire home/apt,722,2,12,2018-07-12,0.73,1,0
16875751,"Vanløse, your home away from home.",3403236,Erol,,Vanlse,55.690429515670935,12.476104208106861,Private room,252,1,8,2018-09-02,0.94,1,268
16876110,Hyggelig lejlighed på Nørrebro,27677639,Benedikte,,Nrrebro,55.70186687525991,12.544437359047706,Entire home/apt,399,1,15,2018-08-06,0.86,1,0
16876387,Best location in city centre (The Royal Quarter),112498910,Jesper,,Indre By,55.685864282926225,12.588382235110668,Entire home/apt,1398,3,10,2017-08-27,0.52,1,0
16881372,Cosy and stylish apartment in central Copenhagen,62979766,Pernille,,Indre By,55.67933235384333,12.568423113478497,Entire home/apt,896,4,8,2018-04-01,0.39,1,0
16882111,2xbikes+videoprojector / Sunny 2-room shareable,52020694,Ioan,,Brnshj-Husum,55.70469015753685,12.508258990688066,Entire home/apt,238,4,16,2018-07-11,0.77,1,0
16882610,Luxury waterfront apartment,73601756,Nanna,,Vesterbro-Kongens Enghave,55.64550771518262,12.552047235264348,Entire home/apt,1099,4,6,2018-05-07,0.33,1,89
16882966,The Concrete Penthouse in central Copenhagen!,45417282,Sebastian,,Frederiksberg,55.68563792948543,12.526319617142732,Entire home/apt,601,2,56,2018-10-14,2.91,1,10
